read_id	scale	offset	sampling_rate	len_raw_signal	signal_sums	channel_number	read_number	mux	start_sample	run_id	experiment_id	flowcell_id	position_id	run_acquisition_start_time	
3c55eb84-c2f7-4746-b1a6-509d0fda52ee	0.14	-130.00	4000	8027	7410628	835	55993	4	530766387	dc60b20f5078b3546ded810fb828b49c438fbd89	.	PAM96112	.	.	
e192f5df-0813-40ec-b2f4-c5e66932d362	0.14	-136.00	4000	16153	13982239	1661	39866	4	892791498	dc60b20f5078b3546ded810fb828b49c438fbd89	.	PAM96112	.	.	
187f520a-dddd-472d-88ee-3c7929db7a3c	0.14	-119.00	4000	22545	19017025	1783	18960	3	478612643	dc60b20f5078b3546ded810fb828b49c438fbd89	.	PAM96112	.	.	
f54c9a14-c6ec-47bb-b96e-467b47fa7a60	0.14	-105.00	4000	37575	29678603	292	1269	3	38159644	dc60b20f5078b3546ded810fb828b49c438fbd89	.	PAM96112	.	.	
033cf1ad-6afa-4b18-a169-ebd53ba7df18	0.14	-126.00	4000	106300	85837790	2703	7048	1	163905291	dc60b20f5078b3546ded810fb828b49c438fbd89	.	PAM96112	.	.	
ed47c16d-9a47-4583-bd83-fff0669d5b09	0.14	-130.00	4000	43994	38230638	1363	22856	4	433794609	dc60b20f5078b3546ded810fb828b49c438fbd89	.	PAM96112	.	.	
55c39a14-7806-4ebd-ade3-6d6016c1bdfa	0.14	-143.00	4000	259576	221813954	536	19985	3	371786038	dc60b20f5078b3546ded810fb828b49c438fbd89	.	PAM96112	.	.	
ef372097-8adc-4de3-a7a1-f33b12f4db93	0.14	-131.00	4000	143854	119040021	374	16304	3	476018903	dc60b20f5078b3546ded810fb828b49c438fbd89	.	PAM96112	.	.	
8260c48a-38e0-498b-8342-f92f3feb01b4	0.14	-109.00	4000	96794	79958719	2724	8099	3	213183015	dc60b20f5078b3546ded810fb828b49c438fbd89	.	PAM96112	.	.	
87417bd4-a6a4-4389-b2ba-6177bb38874b	0.14	-129.00	4000	83091	65729701	2649	3520	1	84482615	dc60b20f5078b3546ded810fb828b49c438fbd89	.	PAM96112	.	.	
2a3f96ad-687b-46c6-96d8-d23886e30776	0.14	-101.00	4000	130531	110853658	1071	47845	4	505850946	dc60b20f5078b3546ded810fb828b49c438fbd89	.	PAM96112	.	.	
bb82702e-5921-44ee-8573-0dd644aade89	0.14	-146.00	4000	68757	56647282	2221	12182	2	555064550	dc60b20f5078b3546ded810fb828b49c438fbd89	.	PAM96112	.	.	
0892fa85-1039-4fd0-a91b-7428f9ed4d05	0.14	-137.00	4000	120899	93130404	43	348326	3	429458407	dc60b20f5078b3546ded810fb828b49c438fbd89	.	PAM96112	.	.	
037c8358-f53b-4bec-8509-e4835c1e0801	0.14	-136.00	4000	18306	15483176	2730	985	3	13536976	dc60b20f5078b3546ded810fb828b49c438fbd89	.	PAM96112	.	.	
11c5f6b2-0098-4307-8f93-170d3f29e1ce	0.14	-149.00	4000	328364	285551974	600	3752	4	71822327	dc60b20f5078b3546ded810fb828b49c438fbd89	.	PAM96112	.	.	
5eb35bd4-d748-4979-9720-2bd847bd3e04	0.14	-146.00	4000	172090	145927437	877	145073	1	676326192	dc60b20f5078b3546ded810fb828b49c438fbd89	.	PAM96112	.	.	
1ebcb623-ea2a-4184-8a21-ddac53a1aaaf	0.14	-150.00	4000	7237	5946650	525	43326	3	931027571	dc60b20f5078b3546ded810fb828b49c438fbd89	.	PAM96112	.	.	
c602feaa-0824-4658-9cc5-fe423d728fdc	0.14	-131.00	4000	149784	118964919	2706	14989	3	512184096	dc60b20f5078b3546ded810fb828b49c438fbd89	.	PAM96112	.	.	
cbd59151-c978-4c79-b98a-527a5fac7f90	0.14	-135.00	4000	79937	64595628	2528	2716	3	39606791	dc60b20f5078b3546ded810fb828b49c438fbd89	.	PAM96112	.	.	
465b8968-a72d-47a9-9cc3-2716a9abcf95	0.14	-123.00	4000	105842	84866184	1860	16538	3	428611500	dc60b20f5078b3546ded810fb828b49c438fbd89	.	PAM96112	.	.	
4d48ae6e-0b4d-425b-a3a7-136e4803bbc6	0.14	-141.00	4000	248213	225092360	852	68373	2	723293836	dc60b20f5078b3546ded810fb828b49c438fbd89	.	PAM96112	.	.	
52d276b9-4d0b-4dfd-9a81-6fa7a021df18	0.14	-112.00	4000	78613	69128741	2432	22160	4	588513991	dc60b20f5078b3546ded810fb828b49c438fbd89	.	PAM96112	.	.	
